circuitID,locationID,strName
1,1,Albert Park Grand Prix Circuit
2,2,Sepang International Circuit
3,3,Bahrain International Circuit
4,4,Circuit de Barcelona-Catalunya
5,5,Istanbul Park
6,6,Circuit de Monaco
7,7,Circuit Gilles Villeneuve
8,8,Circuit de Nevers Magny-Cours
9,9,Silverstone Circuit
10,10,Hockenheimring
11,11,Hungaroring
12,12,Valencia Street Circuit
13,13,Circuit de Spa-Francorchamps
14,14,Autodromo Nazionale di Monza
15,15,Marina Bay Street Circuit
16,16,Fuji Speedway
17,17,Shanghai International Circuit
18,18,Autódromo José Carlos Pace
19,19,Indianapolis Motor Speedway
20,20,Nürburgring
21,21,Autodromo Enzo e Dino Ferrari
22,22,Suzuka Circuit
80,23,Las Vegas Strip Street Circuit
24,24,Yas Marina Circuit
25,25,Autódromo Juan y Oscar Gálvez
26,26,Circuito de Jerez
27,27,Autódromo do Estoril
28,28,Okayama International Circuit
29,29,Adelaide Street Circuit
30,30,Kyalami
31,31,Donington Park
32,32,Autódromo Hermanos Rodríguez
33,33,Phoenix street circuit
34,34,Circuit Paul Ricard
35,35,Korean International Circuit
36,36,Autódromo Internacional Nelson Piquet
37,37,Detroit Street Circuit
38,38,Brands Hatch
39,39,Circuit Park Zandvoort
40,40,Zolder
41,41,Dijon-Prenois
42,42,Fair Park
43,43,Long Beach
44,44,Las Vegas Street Circuit
45,45,Jarama
46,46,Watkins Glen
47,47,Scandinavian Raceway
48,48,Mosport International Raceway
49,49,Montjuïc
50,50,Nivelles-Baulers
51,51,Charade Circuit
52,52,Circuit Mont-Tremblant
53,53,Rouen-Les-Essarts
54,54,Le Mans
55,55,Reims-Gueux
56,56,Prince George Circuit
57,57,Zeltweg
58,58,Aintree
59,59,Circuito da Boavista
60,43,Riverside International Raceway
61,60,AVUS
62,61,Monsanto Park Circuit
63,62,Sebring International Raceway
64,63,Ain Diab
65,64,Pescara Circuit
66,65,Circuit Bremgarten
67,49,Circuit de Pedralbes
68,66,Buddh International Circuit
69,67,Circuit of the Americas
70,68,Red Bull Ring
71,69,Sochi Autodrom
73,70,Baku City Circuit
75,71,Autódromo Internacional do Algarve
76,72,Autodromo Internazionale del Mugello
77,73,Jeddah Corniche Circuit
78,74,Losail International Circuit
79,75,Miami International Autodrome
