ID, IDLand, IDCoureur
1,9,1
2,10,2
3,4,3
4,36,4
5,15,5
6,37,6
7,10,7
8,17,8
9,17,9
10,10,10
11,10,11
12,19,12
13,15,13
14,28,14
15,26,15
16,13,16
17,11,17
18,38,18
19,4,19
20,8,20
21,15,21
22,8,22
23,10,23
24,32,24
25,17,25
26,17,26
27,31,27
28,39,28
29,9,29
30,24,30
31,12,31
32,1,32
33,8,33
34,8,34
35,9,35
36,24,36
37,36,37
38,26,38
39,8,39
40,41,40
41,32,41
42,10,42
43,27,43
44,9,44
45,26,45
46,17,46
47,4,47
48,19,48
49,18,49
50,9,50
51,10,51
52,41,52
53,12,53
54,8,54
55,7,55
56,13,56
57,9,57
58,42,58
59,6,59
60,32,60
61,9,61
62,43,62
63,7,63
64,17,64
65,9,65
66,15,66
67,32,67
68,10,68
69,16,69
70,26,70
71,1,71
72,19,72
73,42,73
74,13,32
75,7,55
76,12,60
77,12,45
78,9,62
